word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
благоговейный,5.8936013402899334e-08,8.324151679062197e-08,7.301321147679118e-08,9.937749467781032e-08,1.166761691706597e-07,1.2258718129487534e-07,1.953163888401832e-07,2.1420521534309955e-07,1.8454174721682648e-07,2.2279247957612824e-07,1.720990070452899e-07,1.8775195087528118e-07,2.1682815543044853e-07,1.9111776339286735e-07,2.516453889711556e-07,3.54306394001469e-07,2.2821396328254195e-07,2.199256812218664e-07
благоговение,3.569838611383602e-07,3.932736944989301e-07,3.7220863191578246e-07,4.678013567627204e-07,5.524732387129916e-07,6.096227593843651e-07,7.623318651894806e-07,8.193994744942756e-07,9.471513067182968e-07,1.015933662529278e-06,9.088241768040461e-07,9.221234904543962e-07,8.872253829395049e-07,8.627602028354886e-07,8.783484304331068e-07,1.0561918770690681e-06,9.535451681585982e-07,8.972266982709698e-07
благоговеть,6.735544388902781e-08,7.729569517778145e-08,7.221958497893866e-08,1.1553643730621843e-07,1.1744885597408938e-07,1.0767792701926737e-07,1.275535623790347e-07,1.3162006951006333e-07,1.429892932947041e-07,1.8937360835025174e-07,1.3084239469662862e-07,1.2596017029409268e-07,1.781088343477677e-07,1.550784105575076e-07,1.4173130580275028e-07,1.530469120325506e-07,1.62757245902867e-07,1.2880110489277286e-07
благодарность,1.4061291039979551e-05,1.1748945325962268e-05,1.1055151844630018e-05,1.1823497516161297e-05,1.088951830752194e-05,1.0313060556654818e-05,1.0409566129965242e-05,1.1555468518054113e-05,1.1851001545437612e-05,1.2563267773657572e-05,1.3941198631073348e-05,1.2783768397639506e-05,1.3787393982056528e-05,1.3062625839665998e-05,1.2953470104548614e-05,1.313624579779571e-05,1.3092228073219303e-05,1.3757184206042439e-05
благодарный,5.422113531494688e-07,5.640037556986499e-07,5.134733100931044e-07,5.356689030122652e-07,5.934257956141664e-07,5.615818281512475e-07,5.49078208678111e-07,5.716440796277311e-07,6.721718932567455e-07,7.88685383668053e-07,7.320101644836541e-07,5.596909318228427e-07,7.201792300293164e-07,6.563529950653901e-07,7.047999019960116e-07,7.596284490318794e-07,6.138778871900286e-07,6.440054676204454e-07
благодарственный,1.9027913822355913e-07,1.3080808969334612e-07,1.626924728270751e-07,1.8501988563457417e-07,1.8544557178756804e-07,1.7228468607299874e-07,2.2421524192850484e-07,3.50986880448545e-07,3.5319578728376655e-07,4.6229439476519474e-07,3.854546264392411e-07,3.921401514617173e-07,3.1307328640650667e-07,3.40735681447768e-07,4.319430217947229e-07,3.576700748908479e-07,3.6708834727505746e-07,3.6712694395646395e-07
благозвучие,8.082653835117526e-08,9.088614660868188e-08,7.063234619408831e-08,7.675497215586802e-08,1.0122236915321992e-07,8.945551144279307e-08,9.66616866548975e-08,7.355239262096802e-08,8.310488652796266e-08,9.580076465454113e-08,1.0137338790627837e-07,9.149936630592492e-08,9.624515229234021e-08,9.938123923802777e-08,8.870258483284488e-08,8.857659850036725e-08,9.995417826758057e-08,1.1215333728387122e-07
благозвучность,1.2629145729192714e-08,1.4439854645331707e-08,1.6666058755276936e-08,1.535099514171634e-08,2.3180696473446005e-08,2.4020462063845116e-08,1.9930244121724172e-08,2.7098250754420405e-08,2.8109006677823345e-08,2.227924689179872e-08,1.650264458419315e-08,2.2577765435016772e-08,2.212532201895101e-08,2.8394639528528387e-08,2.217564620821122e-08,1.2894061818258251e-08,1.6806454894435774e-08,2.8038334320967806e-08
благозвучный,3.1993835136745474e-08,2.6331498759191163e-08,3.015762928271215e-08,2.9894042796740905e-08,4.017987365045883e-08,4.555604604661312e-08,3.487792810119572e-08,4.129257291651811e-08,3.5441789947299185e-08,4.901434280668582e-08,4.597165315090024e-08,5.5850261304613014e-08,3.2081715062304283e-08,4.2591960180971e-08,5.302872096990541e-08,5.269746949920773e-08,3.715111063229415e-08,4.994328151042282e-08
благорасположение,1.1871397020968288e-07,1.1297062485482456e-07,1.0713894482705655e-07,1.4219868660347856e-07,1.6921907786127122e-07,1.7145639219506847e-07,1.5744892323255044e-07,2.1033403641013138e-07,2.0654009347254032e-07,2.9520003863581223e-07,2.2985825864907383e-07,2.7212149689148646e-07,2.5997252350862254e-07,2.6756487159218523e-07,2.921400437116972e-07,3.0216955337891704e-07,2.8482517677730357e-07,2.5322120222881495e-07
благоухание,2.626862283250375e-07,2.4717633095860947e-07,2.2776946195790515e-07,3.5953647170572367e-07,3.770726380025735e-07,3.984083321029175e-07,5.779770617664326e-07,7.200392246886622e-07,6.342858682728547e-07,6.795170293116826e-07,5.493022854352603e-07,6.452488037211879e-07,5.387515784605057e-07,5.558796942750632e-07,7.713268246334337e-07,8.48765637329052e-07,6.846419182693353e-07,5.195853987061128e-07
