word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
без серьезных происшествий,1.6838861416346163e-09,0.0,0.0,1.6158941962274298e-09,7.726898565429963e-10,1.6565835370130344e-09,0.0,1.290392903641191e-09,1.2221307299498108e-09,3.341887211405492e-09,1.1787603115820389e-09,0.0,0.0,1.0921015203280149e-09,9.641585307917921e-10,2.2424455625724704e-09,2.6536508546115556e-09,2.6285937870795806e-09
безоблачный,1.3639477458582405e-07,1.452479523322836e-07,1.23805008911404e-07,1.236159050677088e-07,1.3444802959838853e-07,1.3583985492005013e-07,1.4349775767641404e-07,1.122641819506498e-07,1.356565064725146e-07,1.3701736634175177e-07,1.2141231309215073e-07,1.0932392058293772e-07,1.3717699687276763e-07,1.3869689041712263e-07,1.234122919413494e-07,1.435165160046381e-07,1.0791513460617352e-07,9.200078210369611e-08
безплатный,8.419430708173081e-10,1.6988064288625537e-09,7.936218349158253e-10,0.0,7.726898565429963e-10,0.0,1.9930244121724172e-09,2.580785807282382e-09,6.110653760771356e-09,4.455849467177586e-09,5.893801446887892e-09,0.0,0.0,3.2763045609840447e-09,9.641585307917921e-10,5.606113906431176e-10,3.538201065467206e-09,1.7523958950604879e-09
бесконфликтность,3.115189528557494e-08,3.822314553758588e-08,6.110887795784947e-08,7.756292319527347e-08,7.726898587634423e-08,5.798042224114397e-08,6.77628264611485e-08,5.2906109715422645e-08,4.888523008617085e-08,4.455849378359744e-08,5.893801713341418e-08,8.793445260835142e-08,5.199450470172451e-08,6.44339905875313e-08,7.809683921777832e-08,3.700035122733425e-08,6.811036712406349e-08,6.834343935224751e-08
бесплатный,5.388435511122225e-07,5.249311811894586e-07,6.063270916456531e-07,6.423179570447246e-07,7.811894420228782e-07,7.562304062957992e-07,9.337319397673127e-07,1.0852204468392301e-06,1.1732455504898098e-06,1.2398401167956763e-06,1.7469227486799355e-06,1.6481768625453697e-06,1.6228923414018936e-06,1.8729541579887155e-06,1.9533852082531666e-06,1.8225475741928676e-06,1.876131136668846e-06,1.8128534975403454e-06
бессмертность,9.261373890012692e-09,1.868687071748809e-08,1.1904327301692774e-08,1.9390730798818367e-08,1.6226486820869468e-08,1.9050711230761408e-08,1.395117088520692e-08,1.4194322162097706e-08,3.055326658341073e-08,2.5621133659115003e-08,1.0608842693216047e-08,1.901285529015695e-08,2.655038500165574e-08,2.7302537120021952e-08,3.085307298533735e-08,1.9621397839841848e-08,2.1229206836892445e-08,1.2266771598490323e-08
бессмертный,1.1711427987393108e-06,8.443067827101913e-07,8.428264095527993e-07,8.709669714335178e-07,8.855025726006716e-07,8.117259540085797e-07,8.420528274655226e-07,9.381156473864394e-07,9.25152960462583e-07,1.109506570173835e-06,1.2247319318703376e-06,9.280649919674033e-07,9.80151753537939e-07,9.490362344877212e-07,1.000796601147158e-06,1.081419327420008e-06,9.270086707147129e-07,8.700645821591024e-07
благотворитель,5.6410186743960367e-08,3.737374143497618e-08,3.571298279325674e-08,8.241060100999675e-08,8.035974730091766e-08,9.442526049951994e-08,1.0563029206878127e-07,1.4710478524193604e-07,1.9187451982816128e-07,2.3727398001938127e-07,1.7445653099912306e-07,2.6499168370719417e-07,2.400597338692023e-07,2.3152551875682548e-07,2.468245838826988e-07,1.8275930813160812e-07,3.007471036653442e-07,3.0754549129596853e-07
благотворительница,1.4313032536961146e-08,9.343435358744046e-09,1.8253302869197796e-08,2.1006623995845075e-08,1.3135727172652878e-08,1.1596084981135846e-08,3.0891879276850887e-08,4.387336005606812e-08,2.0776221631990666e-08,5.792604440557625e-08,2.8290248366147352e-08,4.040231615931589e-08,5.973836891826068e-08,4.3684060813120595e-08,6.941941421700903e-08,4.03640214585721e-08,5.9264866791863824e-08,7.360062426187142e-08
благотворительность,2.9888980179748614e-07,2.658632070051681e-07,2.626888147005957e-07,4.896159566669667e-07,5.300652219375479e-07,7.023914463388792e-07,1.0224215429843753e-06,1.1097379228885984e-06,1.67676341789047e-06,1.4414672477869317e-06,1.4109760968494811e-06,1.5293464912247146e-06,1.7833009451351245e-06,1.3891531125409529e-06,1.6265354361166828e-06,1.4727261259395164e-06,1.6797609987406759e-06,2.0993702491978183e-06
благотворительный,8.082653835117526e-08,1.1297062485482456e-07,1.0872619071733425e-07,2.2622518258685886e-07,3.1371209274766443e-07,3.528522825035907e-07,4.992526214664395e-07,6.464868533839763e-07,7.528325340899755e-07,6.850868317087588e-07,6.553907496709144e-07,7.735855547252868e-07,8.440810006504762e-07,8.998916314340022e-07,8.619577442914306e-07,7.46734372114588e-07,8.978184951047297e-07,1.0426755352455075e-06
благоустройство,1.5904304291325388e-06,1.5900827747827861e-06,1.6642250102449907e-06,1.6506359088452882e-06,1.5878777048783377e-06,1.0925168680842035e-06,1.2436472616172978e-06,1.2413579497660976e-06,1.2367962654025177e-06,1.2186748108433676e-06,1.3284628721521585e-06,1.4485418660115101e-06,1.4934591945348075e-06,1.6938494127316517e-06,1.5995390185707947e-06,1.1324350452923682e-06,1.687721919552132e-06,1.7883199916468584e-06
боевик,1.4649809543243464e-07,1.4100093892466248e-07,1.4840728113085788e-07,1.4704637862905656e-07,2.418519216007553e-07,2.92386999944938e-07,2.869955153528281e-07,3.3679253874652204e-07,4.0452528082823846e-07,4.422430492923013e-07,5.410510084402631e-07,6.761446798009274e-07,5.830022473674035e-07,5.504191449290374e-07,4.7050934881553985e-07,1.062919182004407e-06,7.385994535979989e-07,8.507881830155384e-07
божественность,1.7512415695364325e-07,1.826216902145461e-07,1.2221775591569894e-07,2.141059809446233e-07,2.8280447850193013e-07,2.990133225466707e-07,3.557548495791707e-07,3.974410276441631e-07,6.636169587181939e-07,5.915140377510397e-07,5.363359605325968e-07,4.277892458048882e-07,5.509205038833898e-07,4.958141062161303e-07,3.914483670541813e-07,4.6923173613322433e-07,5.572666736952669e-07,4.3547038330871146e-07
божественный,9.295051768276608e-07,8.774335356065421e-07,9.515525789538515e-07,1.267668949367362e-06,1.3831148635290447e-06,1.5298548987630056e-06,2.1415046376205282e-06,2.1717312392866006e-06,2.9600005291285925e-06,2.728093932091724e-06,2.6474956484889844e-06,2.5287097287218785e-06,2.7147768832946895e-06,2.4747021143411985e-06,2.6234754386678105e-06,3.136620762234088e-06,2.6925711154035525e-06,2.3087816316547105e-06
божество,1.7074605693778722e-06,1.9502297163853655e-06,2.653871433722088e-06,2.4246492102975026e-06,2.7384128316043643e-06,3.0083556339377537e-06,2.934728399850428e-06,3.1317836146627087e-06,3.814270030488842e-06,4.454735517356312e-06,3.746100219359505e-06,3.9855699469626416e-06,3.5721332096727565e-06,4.478708433452994e-06,3.5317127640155377e-06,4.035841357108438e-06,3.739878593478352e-06,3.814966021309374e-06
братание,1.6165307670235052e-07,1.7412766339930386e-07,3.110997681687877e-07,1.696688940455715e-07,2.1171702258016012e-07,2.2860852766370954e-07,3.5077229654234543e-07,2.3614190070020413e-07,2.554253342168522e-07,2.395019009782118e-07,2.451821501381346e-07,2.281542634818834e-07,2.942667833849555e-07,1.780125415962175e-07,2.1597151089736144e-07,2.096686557706562e-07,2.0256200627954968e-07,2.786309494240413e-07
верноподданный,9.513956911177956e-08,8.74885301982431e-08,9.52346184135422e-08,1.098808084520897e-07,1.2981189456695574e-07,2.079012375588718e-07,1.5146986243053107e-07,1.4194321806826338e-07,1.759868268891296e-07,2.0162718783467426e-07,1.4852379592866782e-07,1.8299873261184985e-07,2.1793441362660815e-07,2.3370972712655202e-07,1.7258437878808763e-07,1.5584996049256006e-07,1.9990835653516115e-07,1.8487776287656743e-07
