word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
аккуратист,6.061990376338144e-08,4.247016249792068e-08,2.777676400000928e-08,5.0092719305894207e-08,4.713407975032169e-08,4.22428811930331e-08,3.2884901912666464e-08,4.6454143642904455e-08,6.59950600834236e-08,4.0102644760509065e-08,5.0686693953139184e-08,4.5155530870033544e-08,3.2081715062304283e-08,3.2763047386197286e-08,2.0247329146627635e-08,4.87731917075962e-08,3.980476037668268e-08,4.643849038643566e-08
аккуратистка,6.735544566538465e-09,3.3976128577251075e-09,1.1904327301692774e-08,6.463576784909719e-09,9.27227805647135e-09,8.282917463020567e-09,1.395117088520692e-08,1.6775107525290878e-08,7.33278415765426e-09,1.0025661190127266e-08,1.5323884383633413e-08,1.3071337789938298e-08,9.956394819710113e-09,8.736812162624119e-09,1.5426536492668674e-08,1.7378953387492402e-08,1.4152804261868823e-08,8.761979586324742e-09
аккуратность,5.102174895910139e-07,5.257805923974956e-07,5.245840384304756e-07,5.316292117640842e-07,4.945214868712355e-07,4.903487251795013e-07,5.082212055640412e-07,5.329322902980493e-07,5.96399786445545e-07,5.692347713193158e-07,6.129553753453365e-07,5.323599339135399e-07,6.549095132868388e-07,6.126689413576969e-07,6.749109502379724e-07,7.450525458807533e-07,6.46606224563584e-07,6.702914561174111e-07
аккуратный,8.469947374578624e-07,7.26239761661418e-07,8.1504964555279e-07,8.168345289050194e-07,8.090062806331844e-07,7.595435249641014e-07,7.5336322424846e-07,7.355239404205349e-07,7.748308803456894e-07,9.301585919274657e-07,8.380985718758893e-07,7.830919912521495e-07,8.263807558250846e-07,7.437211593241955e-07,7.742193020021659e-07,1.145889655163046e-06,8.252853831436369e-07,8.490358140988974e-07
активность,5.8549561799736694e-05,6.46608168608509e-05,6.443257007049397e-05,6.075358032830991e-05,5.20236644661054e-05,5.322685683495365e-05,5.3903338994132355e-05,4.473276203498244e-05,3.77736178052146e-05,3.3021187846316025e-05,3.396951433387585e-05,3.148885298287496e-05,3.140468106721528e-05,2.9178769182180986e-05,2.8544876840896904e-05,2.145011239917949e-05,2.8446251235436648e-05,2.824336479534395e-05
активный,8.991110007627867e-06,9.502273314865306e-06,9.263154424843378e-06,9.044967555382755e-06,8.155741852533538e-06,7.860488949518185e-06,7.3901346695492975e-06,6.962960014789132e-06,6.65572406433057e-06,6.179149295348907e-06,6.650565865129465e-06,6.445357939810492e-06,6.3588172452000435e-06,6.430293979065027e-06,6.570740424649557e-06,5.499037342815427e-06,7.797310900059529e-06,6.879906322865281e-06
актуальность,8.710742804396432e-06,8.826998055155855e-06,8.556036846130155e-06,7.887179890531115e-06,7.197606009867741e-06,6.614738140342524e-06,5.819631496706279e-06,5.329322902980493e-06,4.658762463805033e-06,4.415746843733359e-06,5.1311435527168214e-06,5.537493962037843e-06,5.769177732872777e-06,6.034953003108967e-06,6.265102001634659e-06,4.412011548993178e-06,6.899492291267961e-06,7.120860573195387e-06
актуальный,7.69535972722224e-07,7.661616905352275e-07,7.531471055699512e-07,8.394570158998249e-07,7.850529186725907e-07,7.471192020602757e-07,7.115096991583414e-07,7.381047453236533e-07,6.721718932567455e-07,6.784030688322673e-07,7.791605867168983e-07,8.13987867331889e-07,9.569201893100399e-07,9.45759893511422e-07,9.217355341206712e-07,7.097340244399675e-07,1.034039314617985e-06,1.0654566722223535e-06
ангел,3.017524022652651e-06,3.0688938750245143e-06,3.2736900266172597e-06,3.4063050406984985e-06,4.214250566292321e-06,4.550634912448004e-06,5.250622962194029e-06,5.293191861710511e-06,6.858597771497443e-06,7.255237051140284e-06,6.3935958678484894e-06,6.388319434336154e-06,7.115503194654593e-06,6.483806828327943e-06,7.611067303514574e-06,8.71974953042809e-06,7.383341198874405e-06,6.295482307905331e-06
ангельский,1.1703008340191445e-07,1.4185033592184482e-07,1.626924728270751e-07,1.8744373164736317e-07,1.9780860327500704e-07,2.3440657059836667e-07,3.2486298096046085e-07,4.129257149543264e-07,5.181834126233298e-07,5.636649689222395e-07,3.91348436323824e-07,4.135295910145942e-07,4.358688272532163e-07,4.6414314169851423e-07,4.878642130279331e-07,5.028684313401754e-07,4.829644240089692e-07,4.302131912936602e-07
аппетитность,0.0,0.0,7.936218349158253e-10,1.6158941962274298e-09,6.18151885234397e-09,4.1414587315102835e-09,1.9930244121724172e-09,1.290392903641191e-09,1.2221307299498108e-09,6.683774422810984e-09,2.3575206231640777e-09,2.3766069112696186e-09,6.637596250413935e-09,3.2763045609840447e-09,6.749109715542545e-09,8.40917113720252e-09,1.769100532733603e-09,5.257187574159161e-09
аппетитные формы,0.0,0.0,0.0,0.0,1.4576090334728065e-09,7.808285684696159e-10,0.0,0.0,0.0,0.0,0.0,0.0,3.134763559842213e-09,1.0310510223376923e-09,1.8203156759710737e-09,8.967103504176066e-09,3.3405271882003262e-09,2.4803492593150622e-09
аппетитный,9.598151251566378e-08,1.1212122785764222e-07,9.602824491139472e-08,8.483444702278575e-08,8.963202446921059e-08,1.0767792701926737e-07,1.0662680693940274e-07,1.1484496553748613e-07,1.234351998391503e-07,1.1251020026747938e-07,1.4616627197483467e-07,1.23583561162377e-07,9.956394819710113e-08,1.3542059207338752e-07,1.243764558012117e-07,2.679722399534512e-07,1.4506623813304032e-07,1.4106787205037108e-07
аристократ,3.7971631172695197e-07,4.790634307028085e-07,5.30932993569877e-07,5.20317939844972e-07,6.737855642313662e-07,6.195622290761094e-07,7.443946401508583e-07,7.548798635070852e-07,9.019324807013618e-07,8.477253459204803e-07,8.805339462014672e-07,9.435129300072731e-07,8.617813023192866e-07,9.479441018811485e-07,9.014882493829646e-07,1.101040766116057e-06,9.615060889700544e-07,8.490358140988974e-07
