word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
авантюрный,1.212398075267629e-07,1.5289258215034351e-07,1.3094759765408526e-07,1.6562916016482632e-07,1.784913621349915e-07,1.7228468607299874e-07,2.1325361387880548e-07,2.5162660222122213e-07,2.114286132837151e-07,2.3616001953996602e-07,2.4753967409196775e-07,3.6243255863155355e-07,3.0532945061167993e-07,2.730253925165016e-07,2.699644028325565e-07,2.5451757323935453e-07,3.0251618454713025e-07,3.2769804647614365e-07
аврал,3.165706061736273e-07,2.8964649345653015e-07,2.9125922651473957e-07,2.545033339629299e-07,2.4880614546418656e-07,1.8470906582024327e-07,2.022919716182514e-07,1.4452400876052707e-07,1.8576386651147914e-07,1.8380379174232075e-07,1.8506537458051753e-07,1.723039986245567e-07,1.5155845289882564e-07,1.9002565920800407e-07,1.7354852843709523e-07,2.1191110022300563e-07,1.7514095418391662e-07,1.813729681998666e-07
авральный,2.694217826615386e-08,1.5289257859762984e-08,1.9046924037979807e-08,2.9894042796740905e-08,1.9317246469086058e-08,9.939501666167416e-09,1.0961634266948295e-08,1.4194322162097706e-08,1.2221307521542712e-08,1.7823397868710344e-08,2.946900856670709e-08,2.2577765435016772e-08,2.212532201895101e-08,2.2934131038709893e-08,1.4462377961876882e-08,2.2985066294722856e-08,1.8575555316147074e-08,2.4533543196980645e-08
авторитаризм,8.840402188070584e-08,6.455464074406336e-08,9.285375313083932e-08,1.4866226649701275e-07,2.54987639891624e-07,4.7046972895259387e-07,4.882909934167401e-07,6.400348979695991e-07,8.176054393516097e-07,8.087366722975275e-07,8.852489941091335e-07,8.971691158876638e-07,9.46963780279475e-07,6.902081395310233e-07,7.221547662084049e-07,5.409900154518255e-07,7.686741696488752e-07,6.378721195687831e-07
авторитарность,6.735544388902781e-08,6.285583964427133e-08,1.2142413652327377e-07,2.157218688125795e-07,2.8666792672993324e-07,2.526289790694136e-07,2.93971112341751e-07,2.5291700467278133e-07,1.833196137113191e-07,1.80461910304075e-07,1.909591702542457e-07,2.483554339960392e-07,2.2125321663679642e-07,1.7582834743734566e-07,2.3139804739003011e-07,1.67062196965162e-07,2.4590497105236864e-07,1.6998239971144358e-07
авторитарный,1.9954050856085814e-07,1.6138660896558576e-07,2.888783399157546e-07,4.1366891423422203e-07,5.462917442855542e-07,6.121076125964464e-07,6.885899210828939e-07,7.93591652836767e-07,8.884890689841995e-07,8.766883752286958e-07,1.0337728326703655e-06,1.0884859875659458e-06,9.215196428158379e-07,9.30470491766755e-07,8.860616844685865e-07,6.878701697132783e-07,9.730052852319204e-07,7.465206408596714e-07
агитка,3.9571325771703414e-08,4.247016249792068e-08,5.317266271731569e-08,3.554967165086964e-08,4.636139294689201e-08,3.9758006664669665e-08,5.3811660905012104e-08,5.16157143692908e-08,6.59950600834236e-08,5.458415586190313e-08,7.661942191816706e-08,4.634383543589138e-08,4.535690933948899e-08,5.0236671711445524e-08,5.302872096990541e-08,5.493991750427085e-08,5.307301620405269e-08,6.308625444262361e-08
агонизировать,6.735544566538465e-09,7.644628929881492e-09,1.3491571415613635e-08,1.2927153569819438e-08,1.6226486820869468e-08,1.3252668296104275e-08,2.2919781628161218e-08,2.4517465391227233e-08,2.566474499587912e-08,3.787472024896488e-08,2.3575205787551567e-08,2.3766070000874606e-08,1.770025725988944e-08,2.4026233447216327e-08,2.699643886217018e-08,2.074262184237341e-08,8.845502996734922e-09,2.1904948965811855e-08
агония,1.885952514157907e-07,2.2254364751006506e-07,1.872947592573837e-07,2.0117882115755492e-07,2.8357717951621453e-07,3.984083321029175e-07,4.853014274885936e-07,5.41964993772126e-07,5.829563747283828e-07,5.335879791346088e-07,5.280846266941808e-07,5.323599339135399e-07,4.6684428411936096e-07,4.423011148446676e-07,4.791867809217365e-07,5.863994942956197e-07,5.156928182259435e-07,4.89794672375865e-07
агрессивность,1.6316856772391475e-06,1.452479523322836e-06,1.547562533232849e-06,1.4429934935833444e-06,1.6288302049360937e-06,1.59363332841167e-06,1.8465370885678567e-06,1.7833230003816425e-06,2.025070671152207e-06,1.8101887917509885e-06,1.9496694676490733e-06,1.95475922737387e-06,1.7954698705580086e-06,1.7637439668760635e-06,1.8453994243827765e-06,1.8853361325454898e-06,1.8177507854488795e-06,2.0467984995775623e-06
