word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
брезгливость,2.5763458211258694e-07,3.032369590982853e-07,2.571334789536195e-07,3.2560268437009654e-07,4.2343404516032024e-07,4.5307558593776776e-07,4.892875153927889e-07,4.0905456444306765e-07,4.4118920072833134e-07,5.07966831264639e-07,4.679678511365637e-07,4.5155530870033544e-07,4.1484977941763646e-07,4.57590545011044e-07,4.4736955828739156e-07,6.637638989559491e-07,5.53728455088276e-07,4.775278625857027e-07
брезгливый,4.041326917558763e-08,5.606061392882111e-08,5.237903977217684e-08,6.705960942099409e-08,8.576857624120748e-08,5.8808716119074234e-08,8.570005149977078e-08,7.097160903413169e-08,7.332784690561311e-08,1.0137057415704476e-07,7.897693876657286e-08,9.387597543764059e-08,6.30571648230216e-08,9.610493378886531e-08,7.231189158574125e-08,1.3006184929054143e-07,9.022412683634684e-08,7.272443269812356e-08
будоражить,1.6081112619303894e-07,1.6648303358124394e-07,1.8888199804223404e-07,2.100662470638781e-07,2.1789854542930698e-07,2.4103289320009935e-07,2.6606875280776876e-07,2.271091545935633e-07,2.578695728061575e-07,2.4284378241645754e-07,2.510759600227175e-07,2.614267486933386e-07,2.7767279675572354e-07,2.9268321100062167e-07,2.468245838826988e-07,2.522751287870051e-07,2.689032783109724e-07,2.2167807856021682e-07
будоражиться,8.419430708173081e-10,4.247016072156384e-09,1.5872436698316505e-09,2.423841349852296e-09,1.5453797130859925e-09,4.969750833083708e-09,0.0,0.0,0.0,3.341887211405492e-09,5.893801446887892e-09,2.3766069112696186e-09,0.0,2.1842030406560298e-09,0.0,1.681834227440504e-09,8.845502663668015e-10,0.0
в голове кружится,1.6838861416346163e-09,0.0,2.380865504747476e-09,4.039735657102028e-09,0.0,0.0,0.0,2.580785807282382e-09,0.0,3.341887211405492e-09,0.0,2.3766069112696186e-09,1.10626607874309e-09,0.0,3.8566341231671686e-09,2.8030568977044368e-09,8.845502663668015e-10,1.7523958950604879e-09
в голове туман,2.0206634587793815e-08,1.0192838573175322e-08,1.2697949358653204e-08,1.2119206083127665e-08,1.4681106996761173e-08,2.5677044490635126e-08,1.9930244121724172e-08,1.29039285923227e-08,2.0776221631990666e-08,2.0051322380254533e-08,1.1787602893775784e-08,1.901285529015695e-08,1.1062661009475505e-08,2.8394639528528387e-08,4.820792653958961e-09,1.7939564500579763e-08,1.5921905571758543e-08,9.638177367321532e-09
вешать голову,1.0316195897530633e-08,1.3609083637788899e-08,6.7234382505887424e-09,1.752743727934103e-08,7.288045278386335e-09,5.465799812753858e-09,5.6323972152938495e-09,7.288885495171371e-09,2.306004720509236e-09,4.193442482147702e-09,2.2254185161330042e-09,6.731879942378782e-09,3.134763559842213e-09,4.124204089350769e-09,2.730473624978913e-09,2.637383422765538e-09,3.3405271882003262e-09,3.3071323457534163e-09
вешать нос,2.2219497353148654e-08,2.8018700248821915e-08,1.6435071970022364e-08,1.905156210568748e-08,2.1864135391069794e-08,1.7959056464178502e-08,2.7223252985209e-08,2.6725913926384237e-08,1.2683026184845403e-08,1.7822131326283852e-08,1.891605805326435e-08,1.7951679254224473e-08,1.462889631653752e-08,1.4434714756816902e-08,1.7292999032747502e-08,2.268149756901039e-08,2.1713427500458238e-08,1.5708877754150308e-08
взбудоражить,6.314572686960673e-08,8.324151679062197e-08,6.745785441353291e-08,7.675497215586802e-08,8.499588233235045e-08,7.951601332933933e-08,7.772795385108111e-08,7.74235715539362e-08,1.075475069001186e-07,7.574944049792975e-08,7.190438111592812e-08,6.416838971290417e-08,5.86321036166737e-08,6.880239311612968e-08,7.134772772587894e-08,8.3531098482581e-08,5.484211484940715e-08,8.06102136152731e-08
взбудоражиться,0.0,0.0,7.936218349158253e-10,8.079470981137149e-10,2.3180695141178376e-09,1.6565835370130344e-09,0.0,0.0,1.2221307299498108e-09,0.0,0.0,1.1883034556348093e-09,1.10626607874309e-09,0.0,0.0,1.681834227440504e-09,0.0,0.0
взвинтить,6.482961367737516e-08,8.324151679062197e-08,6.745785441353291e-08,5.6556295646714716e-08,9.658623412178713e-08,9.85667227837439e-08,1.0662680693940274e-07,8.774672011213625e-08,6.355080017783621e-08,8.911698756719488e-08,7.072561913901154e-08,8.199293688448961e-08,9.292634928215193e-08,6.552609477239457e-08,5.784951184750753e-08,8.07280429171442e-08,6.191852008896603e-08,8.5867398524897e-08
взвинчивание,1.9448884813755285e-07,1.6223602017362282e-07,1.269795006919594e-07,1.292715410272649e-07,9.34954726972137e-08,9.773842890581363e-08,8.171399912271227e-08,1.0581221943084529e-07,8.310488652796266e-08,7.129359147484138e-08,5.893801713341418e-08,8.080463231863177e-08,5.641956946078608e-08,3.603934928264607e-08,3.66380241700881e-08,2.4106290297254418e-08,3.449746088790562e-08,3.329552100694855e-08
взвинчивать,6.146184716726566e-08,6.200643554166163e-08,5.237903977217684e-08,7.352318931452828e-08,1.0122236915321992e-07,9.52535543774502e-08,9.267563427783898e-08,7.871396690006804e-08,6.966145349451836e-08,5.347019538248787e-08,6.011677555761707e-08,6.298008514704634e-08,4.2038109882014396e-08,5.4605074240043905e-08,4.2422975354838854e-08,3.5879129001159527e-08,3.803566173132822e-08,4.643849038643566e-08
взволновать,3.2078031608762103e-07,3.5674935361384996e-07,2.9998903983141645e-07,3.458013679846772e-07,3.268478110385331e-07,3.0812452678219415e-07,2.9197806838965334e-07,2.70982496886063e-07,3.0186629373929463e-07,3.219351185634878e-07,2.628635513701738e-07,2.5905015377247764e-07,2.865229191684193e-07,2.6319645485273213e-07,2.506812109004386e-07,3.3300315749329457e-07,2.3529037207481451e-07,2.1642088654516556e-07
взволноваться,4.29390958345266e-08,6.115703143905193e-08,3.333211751055387e-08,4.7668880398532565e-08,4.7906770106465046e-08,4.22428811930331e-08,4.384653706779318e-08,2.838864432419541e-08,3.5441789947299185e-08,4.678641829514163e-08,3.182652719146972e-08,6.060347601533067e-08,4.6463174641075966e-08,4.477616144527019e-08,5.013624360117319e-08,3.8682184566596334e-08,3.538201198693969e-08,6.308625444262361e-08
взгрустнуть,2.104857621532119e-08,1.613866018601584e-08,8.729839962029473e-09,2.2622518969228622e-08,1.7771867533156183e-08,1.3252668296104275e-08,1.0961634266948295e-08,2.0646286458259056e-08,1.7109829997252746e-08,1.4481511101394062e-08,2.3575205787551567e-08,2.733098014573443e-08,1.770025725988944e-08,1.7473624325248238e-08,1.4462377961876882e-08,1.5136507158786117e-08,1.3268254051013173e-08,1.8400156065467854e-08
вздыхать,3.241480897031579e-07,3.813820512732491e-07,3.6744691556123144e-07,4.209404380617343e-07,4.2729749338832335e-07,4.464492633360351e-07,4.354758402769221e-07,3.5485805938151316e-07,4.350785332007945e-07,5.313600581757782e-07,4.1492361901873664e-07,4.26600934133603e-07,4.0489339880878106e-07,4.47761635768984e-07,4.2615806705725845e-07,5.869601409358438e-07,4.0070128193292476e-07,3.7764132798656647e-07
взъедаться,5.893601606743459e-09,4.247016072156384e-09,2.380865504747476e-09,1.6158941962274298e-09,7.726898565429963e-10,1.6565835370130344e-09,0.0,6.45196429616135e-09,0.0,0.0,1.1787603115820389e-09,1.1883034556348093e-09,1.10626607874309e-09,1.0921015203280149e-09,2.8924755923753764e-09,5.6061137954088736e-09,8.845502663668015e-10,1.7523958950604879e-09
взъесться,1.6838861416346163e-09,8.494032144312769e-10,2.380865504747476e-09,8.079470981137149e-10,2.3180695141178376e-09,0.0,0.0,0.0,2.4442614598996215e-09,3.341887211405492e-09,0.0,0.0,1.10626607874309e-09,1.0921015203280149e-09,0.0,2.8030568977044368e-09,8.845502663668015e-10,4.380989793162371e-09
внутреннее метание,0.0,0.0,0.0,7.620624686843769e-10,0.0,0.0,0.0,0.0,0.0,3.145081972633079e-09,0.0,0.0,0.0,0.0,3.6406313519421474e-09,5.274766734508773e-10,8.351317970500816e-10,8.267830864383541e-10
