year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
намылить голову,1.190330234379644e-08,9.606411666140957e-09,5.976389605422128e-09,6.858562162648241e-09,9.474458551039788e-09,7.027457282759997e-09,7.509862953725133e-09,1.2148142047863075e-08,1.0377021020246957e-08,1.1531966492839274e-08,8.901674064532017e-09,4.487919813556118e-09,7.31444815826876e-09,7.217357378408451e-09,8.191420874936739e-09,8.967103504176066e-09,1.252697678921777e-08,7.441047777945187e-09
намылить шею,3.1742140027546384e-09,1.6010686110234928e-09,2.988194802711064e-09,3.810312509955338e-09,4.372826989396117e-09,6.246628547756927e-09,1.877465738431283e-09,3.6444427475856855e-09,6.918014161527708e-09,7.3385244547807815e-09,8.901674064532017e-09,5.609899655922845e-09,1.0449211496066368e-09,6.186306134026154e-09,6.37110497692106e-09,1.476934663457996e-08,8.351317970500816e-10,3.3071323457534163e-09
намять бока,5.5548743382871635e-09,7.204808749605718e-09,8.964584630177796e-09,1.3717124325296481e-08,8.745653978792234e-09,4.684971521839998e-09,1.3142260613108192e-08,9.718513993561828e-09,1.6142033487653862e-08,2.2015573364342345e-08,5.563546068287906e-09,4.487919813556118e-09,1.1494132756695308e-08,9.279458978994626e-09,5.460947249957826e-09,1.4241869905617932e-08,6.6810543764006525e-09,8.26783086438354e-09
нападение,4.376420292828698e-06,3.7458680708368775e-06,3.922872565453872e-06,3.9460137486457825e-06,4.25365760747809e-06,4.019700099888723e-06,4.395615178509615e-06,4.5163751565269195e-06,4.985071427654475e-06,5.820453225169331e-06,6.164916612760862e-06,5.3948974709783215e-06,5.304545993567444e-06,5.2977843552071135e-06,5.192957814870169e-06,6.875898634461919e-06,5.485980636876775e-06,6.465464593929937e-06
напасть,2.1200125956966076e-06,2.166827698601992e-06,2.3030904685583664e-06,2.6306756808480714e-06,2.7198682346352143e-06,2.652190232765861e-06,2.7065270842285827e-06,3.376958147782716e-06,3.6150627238384914e-06,3.955680313083576e-06,3.4643765047803754e-06,3.3854764751595212e-06,3.334286020617583e-06,3.1911206406221027e-06,3.03806359625014e-06,5.055593646829948e-06,3.211802095393068e-06,3.1376648621517234e-06
напачкать,5.051658646948454e-09,5.096419286587661e-09,3.174487339663301e-09,6.463576784909719e-09,5.408828940289823e-09,3.313167074026069e-09,1.9930244121724172e-09,1.290392903641191e-09,0.0,4.455849467177586e-09,4.7150412463281555e-09,3.564910366904428e-09,8.85012862994472e-09,4.3684060813120595e-09,4.820792653958961e-09,1.1212227590817747e-08,7.076402130934412e-09,3.5047917901209757e-09
наплевать,1.5744335541967303e-06,1.6002757092792308e-06,1.5404199302793131e-06,1.8332319768887828e-06,2.1658497644239105e-06,2.2131955574877793e-06,2.2202291347639402e-06,2.1485041088453727e-06,2.3611564756720327e-06,2.5342644676129567e-06,2.4612515971966786e-06,2.35878246712673e-06,2.2789081413066015e-06,2.3993470676941797e-06,2.3679733658354962e-06,4.321753294789232e-06,2.620922487039934e-06,2.705699216676294e-06
напряжение,1.8834267393685877e-05,1.830124165280722e-05,1.869217521743849e-05,1.7811193174566142e-05,1.6914953448576853e-05,1.7717989976517856e-05,1.8569007806945592e-05,2.0372723156469874e-05,1.3880960977985524e-05,1.3630443390866276e-05,1.3493268852471374e-05,1.2440348655218259e-05,1.1379052921256516e-05,1.1912643458344974e-05,1.1460952009656467e-05,1.3773661521554459e-05,1.15416114567779e-05,1.1614880349952728e-05
нарик,1.0103317293896907e-08,5.096419286587661e-09,2.380865504747476e-09,1.6158941962274298e-09,3.090759426171985e-09,8.282917685065172e-10,1.9930244121724172e-09,0.0,1.2221307521542712e-08,2.227924733588793e-09,7.072562091536838e-09,0.0,3.3187981252069676e-09,4.3684060813120595e-09,6.749109715542545e-09,2.522751252342914e-08,1.769100532733603e-09,4.380989793162371e-09
наркоагрессия,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.606113906431176e-10,1.769100532733603e-09,4.380989793162371e-09
наркобарон,0.0,0.0,0.0,0.0,0.0,0.0,9.965122060862086e-10,0.0,6.110653760771356e-09,1.5595473357166156e-08,7.072562091536838e-09,1.3071337789938298e-08,5.5313305047377526e-09,2.2934131038709893e-08,1.6390695023460466e-08,5.6061139730445575e-08,1.4152804261868823e-08,2.2781145858630225e-08
наркобизнес,8.419430708173081e-10,5.096419286587661e-09,5.555352622366172e-09,1.6158942628408113e-08,3.940718329431547e-08,1.1181938930349133e-07,1.8933731382730912e-07,1.1355457729678164e-07,1.7109830707795481e-07,2.26134361014374e-07,2.581485034625075e-07,3.244068409458123e-07,2.5997252350862254e-07,3.7240661754367466e-07,3.2299311669703457e-07,2.522751287870051e-07,3.7239567518554395e-07,4.643849251806387e-07
наркоделец,0.0,0.0,0.0,8.079470981137149e-10,0.0,0.0,2.989536618258626e-09,0.0,0.0,7.797736678583078e-09,2.3575206231640777e-09,8.31812396739906e-09,8.85012862994472e-09,1.3105218243936179e-08,1.831901208504405e-08,4.484891036327099e-08,1.9460106415181144e-08,1.8400156065467854e-08
наркодилер,0.0,0.0,0.0,0.0,7.726898565429963e-10,0.0,0.0,1.290392903641191e-09,0.0,0.0,0.0,0.0,1.10626607874309e-09,0.0,7.713268246334337e-09,2.7469958752135426e-08,8.845502996734922e-09,6.133385799245161e-09
наркозависимость,0.0,0.0,0.0,0.0,0.0,8.282917685065172e-10,0.0,0.0,0.0,1.1139623667943965e-09,2.3575206231640777e-09,3.564910366904428e-09,3.3187981252069676e-09,2.2934131038709893e-08,1.349821943108509e-08,3.027301431757223e-08,3.626655953326008e-08,4.030510680763655e-08
наркозависимый,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1883034556348093e-09,0.0,5.4605076016400744e-09,0.0,6.727336909762016e-09,7.960952785879272e-09,6.133385799245161e-09
наркокартель,0.0,0.0,0.0,8.079470981137149e-10,0.0,1.6565835370130344e-09,9.965122060862086e-10,0.0,1.2221307299498108e-09,1.1139623667943965e-09,8.251322292096575e-09,4.753213822539237e-09,2.21253215748618e-09,4.3684060813120595e-09,1.1569902369501506e-08,5.045502682321512e-09,8.845502996734922e-09,7.0095835802419515e-09
наркокурьер,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290392903641191e-09,0.0,0.0,1.1787603115820389e-09,1.1883034556348093e-09,2.21253215748618e-09,1.7473624325248238e-08,1.0605743838709714e-08,2.466690141034178e-08,1.3268254051013173e-08,1.5771563610655903e-08
наркоман,8.924596528459006e-08,1.0447659803958231e-07,2.0078631735032104e-07,2.7470201757751056e-07,3.0366712167051446e-07,2.4848753810147173e-07,3.33831593479772e-07,2.967903753869905e-07,4.314121611059818e-07,3.2304907904290303e-07,3.61879415322619e-07,4.052114661590167e-07,3.5732395531340444e-07,5.930111228735768e-07,5.283588961901842e-07,1.1313137520119199e-06,6.253770266084757e-07,7.89454361438402e-07
наркоманизация,0.0,0.0,7.936218349158253e-10,0.0,0.0,0.0,0.0,0.0,1.2221307299498108e-09,0.0,1.1787603115820389e-09,2.3766069112696186e-09,0.0,1.0921015203280149e-09,3.8566341231671686e-09,2.2424455625724704e-09,6.191851920078761e-09,0.0
наркомания,2.130116030230056e-07,2.8200187784932496e-07,5.928355335527158e-07,9.1944377800246e-07,9.967699270418962e-07,8.846155878927675e-07,7.125062211343902e-07,5.264802780402533e-07,6.049547209840966e-07,6.160211682981753e-07,7.343676884374872e-07,7.842803029234346e-07,7.511546868954611e-07,9.40299401008815e-07,1.0490044815014699e-06,1.0494645721337292e-06,1.3524773976314464e-06,1.3484686860465445e-06
наркоманка,9.261373890012692e-09,5.096419286587661e-09,3.412574045569272e-08,1.4543047655024566e-08,4.404332187846194e-08,4.22428811930331e-08,4.085699956135613e-08,4.9034930782454467e-08,3.788605340560025e-08,3.119094671433231e-08,5.540173475537813e-08,8.793445260835142e-08,6.637596783320987e-08,9.173652415483957e-08,1.2244812808148708e-07,1.9285032237803534e-07,1.247215806188251e-07,1.2792490622359765e-07
наркоманский,0.0,0.0,1.5872436698316505e-09,0.0,0.0,0.0,9.965122060862086e-10,1.290392903641191e-09,3.66639207882713e-09,2.227924733588793e-09,2.3575206231640777e-09,5.9415175002186515e-09,4.42506431497236e-09,3.2763045609840447e-09,7.713268246334337e-09,2.018201072928605e-08,9.730053207590572e-09,2.2781145858630225e-08
наркомафиози,0.0,0.0,0.0,2.423841349852296e-09,7.726898565429963e-10,4.1414587315102835e-09,6.97558544260346e-09,5.161571614564764e-09,6.110653760771356e-09,4.455849467177586e-09,0.0,3.564910366904428e-09,3.3187981252069676e-09,6.552609121968089e-09,2.8924755923753764e-09,5.045502682321512e-09,5.307301709223111e-09,8.761979475302439e-10
наркомафия,0.0,8.494032144312769e-10,0.0,9.695365399409184e-09,1.6226486820869468e-08,2.981850499850225e-08,6.178375855370177e-08,4.516375184948629e-08,6.110653316682146e-08,7.574944049792975e-08,3.654156799370867e-08,7.24865074630543e-08,5.420703885761213e-08,1.0265754468719024e-07,7.231189158574125e-08,1.2221327949646366e-07,1.1764518603740726e-07,1.6472520769639232e-07
наркоопасность,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1842030406560298e-09,0.0,3.363668454881008e-09,2.6536508546115556e-09,9.638177367321532e-09
наркопоток,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3766069112696186e-09,3.3187981252069676e-09,3.2763045609840447e-09,9.641585307917921e-10,1.1212227812862352e-09,8.845502996734922e-09,9.638177367321532e-09
наркопотребление,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2221307299498108e-09,0.0,0.0,0.0,0.0,1.0921015203280149e-09,6.749109715542545e-09,3.9242795679683695e-09,6.191851920078761e-09,4.380989793162371e-09
наркопреступность,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4442614598996215e-09,2.227924733588793e-09,2.3575206231640777e-09,2.3766069112696186e-09,3.3187981252069676e-09,4.3684060813120595e-09,1.2534060900293298e-08,5.6061137954088736e-09,3.361290978887155e-08,1.2266771598490323e-08
наркопритон,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21253215748618e-09,1.0921015203280149e-09,1.9283170615835843e-09,1.0651616477730386e-08,2.6536508546115556e-09,3.5047917901209757e-09
наркопроизводство,0.0,0.0,0.0,0.0,0.0,0.0,9.965122060862086e-10,0.0,0.0,0.0,1.1787603115820389e-09,0.0,1.10626607874309e-09,2.1842030406560298e-09,1.9283170615835843e-09,1.1212227812862352e-09,1.769100532733603e-09,6.133385799245161e-09
наркорынок,0.0,0.0,0.0,0.0,0.0,8.282917685065172e-10,9.965122060862086e-09,2.580785807282382e-09,3.66639207882713e-09,1.113962344589936e-08,3.536281045768419e-09,3.564910366904428e-09,6.637596250413935e-09,2.7302537120021952e-08,9.641585307917921e-09,6.166725352585445e-09,1.5037354472724473e-08,2.1028750296636645e-08
наркосеть,0.0,0.0,0.0,0.0,0.0,0.0,1.9930244121724172e-09,0.0,0.0,1.1139623667943965e-09,0.0,2.3766069112696186e-09,3.3187981252069676e-09,1.0921015203280149e-09,1.9283170615835843e-09,2.2424455625724704e-09,8.845502663668015e-10,5.257187574159161e-09
наркосиндикат,0.0,0.0,0.0,1.6158941962274298e-09,7.726898565429963e-10,0.0,9.965122060862086e-10,0.0,1.2221307299498108e-09,0.0,2.3575206231640777e-09,0.0,2.21253215748618e-09,6.552609121968089e-09,3.8566341231671686e-09,0.0,8.845502663668015e-10,2.6285937870795806e-09
наркота,0.0,1.6988064288625537e-09,2.380865504747476e-09,7.271523827512283e-09,3.090759426171985e-09,4.1414587315102835e-09,9.965122060862086e-09,5.161571614564764e-09,4.033031331118764e-08,3.34188712258765e-08,2.3575205787551567e-08,4.99087455807512e-08,2.7656652079599553e-08,7.426289982959133e-08,5.495703447877531e-08,1.4912262713551172e-07,8.314772514950164e-08,1.0163896035919606e-07
наркотизация,2.525829323474227e-09,5.096419286587661e-09,9.523462018989903e-09,1.0503311997922538e-08,1.7771867533156183e-08,1.3252668296104275e-08,1.2954658679120712e-08,1.935589288848405e-08,2.19983533611412e-08,2.6735097691243936e-08,3.889909194754182e-08,2.9707585724736418e-08,3.097544976071731e-08,6.44339905875313e-08,5.302872096990541e-08,5.774297306970766e-08,5.572666594844122e-08,8.236260384819616e-08
наркотизм,2.525829323474227e-09,3.3976128577251075e-09,8.729839962029473e-09,4.686093291184079e-08,3.70891122258854e-08,4.1414587315102835e-09,1.6940706615287127e-08,2.0646286458259056e-08,3.055326658341073e-08,1.2253585701671454e-08,2.8290248366147352e-08,4.99087455807512e-08,1.2168927199240898e-08,5.132877234359512e-08,4.049465829325527e-08,5.101563615994564e-08,4.245841367378489e-08,6.571484334472188e-08
наркотик,1.9954050856085814e-07,2.5227274136341293e-07,2.928464652995899e-07,3.773112950966606e-07,4.1802522332545777e-07,3.4539766602392774e-07,6.01893361817929e-07,6.090654665058537e-07,6.208423997122736e-07,7.151638214963896e-07,7.768030627630651e-07,9.031106174006709e-07,7.533672032877803e-07,1.054970084624074e-06,9.863341574600781e-07,1.5472874110855628e-06,1.0862277122214437e-06,1.3598591976915486e-06
наркотический,6.398767027349095e-08,5.8608822683936523e-08,6.983871969623578e-08,5.978808559348181e-08,9.504085340950041e-08,5.798042224114397e-08,1.0961634444583979e-07,6.0648467581359e-08,1.1610242012238814e-07,7.797736856218762e-08,1.0373090475468416e-07,1.23583561162377e-07,1.073078124136373e-07,1.5071000802890921e-07,1.5715784229541896e-07,1.9228970415952062e-07,1.3975893864426325e-07,1.7699198906484526e-07
наркоторговец,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290392903641191e-09,0.0,0.0,1.1787603115820389e-09,0.0,2.21253215748618e-09,1.0921015203280149e-08,1.4462377961876882e-08,3.700035122733425e-08,1.4152804261868823e-08,2.3657344527805435e-08
наркоторговля,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.580785807282382e-09,0.0,6.683774422810984e-09,1.1787603115820389e-09,0.0,5.5313305047377526e-09,9.828913682952134e-09,2.8924755923753764e-08,3.027301431757223e-08,7.253311906652016e-08,1.1653432352431992e-07
наркотранзит,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921015203280149e-09,1.9283170615835843e-09,1.681834227440504e-09,7.960952785879272e-09,5.257187574159161e-09
наркотрафик,0.0,0.0,0.0,0.0,0.0,1.6565835370130344e-09,0.0,1.6775107525290878e-08,2.4442614598996215e-09,0.0,0.0,0.0,4.42506431497236e-09,1.0921015203280149e-09,8.67742677712613e-09,3.027301431757223e-08,9.287777658073537e-08,6.571484334472188e-08
наркотраффик,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8030568977044368e-09,1.769100532733603e-09,8.761979475302439e-10
наркоугроза,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921015203280149e-09,0.0,2.2424455625724704e-09,1.769100532733603e-09,1.1390572929315113e-08
нарыв,2.2985045688983519e-07,2.310376743253073e-07,2.745931624303921e-07,2.6985432555193256e-07,3.9329913192887034e-07,3.6941813164048654e-07,4.1853513721434865e-07,4.684126224674401e-07,4.387449337173166e-07,4.734339995593473e-07,3.819183405084914e-07,4.1115299609373324e-07,3.938307315820566e-07,4.0626176200930786e-07,4.0783905319585756e-07,4.933380068905535e-07,3.953939824441477e-07,3.5573637546804093e-07
нарывный,8.419430708173081e-10,1.6988064288625537e-09,0.0,0.0,7.726898565429963e-10,0.0,1.9930244121724172e-09,0.0,0.0,1.1139623667943965e-09,1.1787603115820389e-09,0.0,1.10626607874309e-09,0.0,0.0,5.606113906431176e-10,0.0,0.0
насвинячить,8.419430708173081e-10,1.6988064288625537e-09,0.0,0.0,3.090759426171985e-09,8.282917685065172e-10,9.965122060862086e-10,2.580785807282382e-09,1.2221307299498108e-09,1.1139623667943965e-09,3.536281045768419e-09,0.0,0.0,6.552609121968089e-09,1.9283170615835843e-09,5.045502682321512e-09,2.6536508546115556e-09,8.761979475302439e-10
население голодает,1.5871070013773192e-09,7.204808749605718e-09,5.976389605422128e-09,7.620625019910676e-09,1.0203263123287343e-08,8.589114308676926e-09,8.44859560089617e-09,1.5792585017493366e-08,6.918014161527708e-09,9.435245473810028e-09,1.4465220132819923e-08,6.731879942378782e-09,1.3583974833863977e-08,2.4745224536104615e-08,1.0921894499915652e-08,5.274766845531076e-09,9.186449823062048e-09,7.441047777945187e-09
насильственно,1.5744335541967303e-06,1.7404271375198732e-06,1.6491461565237842e-06,1.891404167508881e-06,2.389929704804672e-06,2.853465048247017e-06,3.1569506973028183e-06,3.4440586205164436e-06,3.57839871867327e-06,3.2204652598011307e-06,3.426656121519045e-06,3.610065959946951e-06,3.3508799788251054e-06,3.188936489095795e-06,3.141228489766945e-06,2.6208581402897835e-06,2.919900452980073e-06,2.9308821467566304e-06
насморк,3.544580238212802e-07,3.8308084526761377e-07,3.62685170784971e-07,3.5792055541605805e-07,3.8943568370086723e-07,5.044296926826064e-07,4.4444445279623324e-07,4.6067026460150373e-07,5.707350396733091e-07,5.514113468052528e-07,4.443926400199416e-07,5.466196171255433e-07,4.878633603766502e-07,4.5649844082618074e-07,5.495703589986078e-07,8.756749707572453e-07,6.076860472603585e-07,6.080813932385354e-07
насморочный,4.209715243064238e-09,5.945822501018938e-09,6.348974679326602e-09,7.271523827512283e-09,6.954208764398118e-09,7.454626249625562e-09,6.97558544260346e-09,2.580785807282382e-09,1.2221307299498108e-09,5.56981172294968e-09,0.0,4.753213822539237e-09,1.1062661009475505e-08,4.3684060813120595e-09,5.784951184750753e-09,5.6061137954088736e-09,4.422751498367461e-09,5.257187574159161e-09
насорить,1.6838861416346163e-09,3.3976128577251075e-09,7.142596736287032e-09,2.423841349852296e-09,1.1590348236723003e-08,1.0767792879562421e-08,2.989536618258626e-09,7.742357865936356e-09,2.4442614598996215e-09,5.56981172294968e-09,7.072562091536838e-09,2.3766069112696186e-09,1.1062661009475505e-08,7.644710642296104e-09,9.641585307917921e-09,6.166725352585445e-09,2.6536508546115556e-09,2.6285937870795806e-09
нассать,8.419430708173081e-10,0.0,7.936218349158253e-10,8.079470981137149e-10,7.726898565429963e-10,0.0,0.0,1.290392903641191e-09,3.66639207882713e-09,4.455849467177586e-09,4.7150412463281555e-09,1.1883034556348093e-09,3.3187981252069676e-09,6.552609121968089e-09,1.9283170615835843e-09,7.287948022849378e-09,8.845502996734922e-09,1.4019167160483903e-08
натиск,3.229693675166345e-06,2.237328089904622e-06,2.5221302166755777e-06,2.2719473236065824e-06,2.270162895001704e-06,2.141962568202871e-06,2.1305431801010855e-06,2.316255176992854e-06,2.4528164885850856e-06,2.5654553610365838e-06,3.047095333386096e-06,2.1852899863006314e-06,2.240188905489049e-06,2.1721898519899696e-06,2.38918482864392e-06,2.732419943640707e-06,2.155649099222501e-06,2.4358303107874235e-06
наушничать,1.7680804376141168e-08,1.359045143090043e-08,2.4602277548524398e-08,2.181457148253685e-08,1.4681106996761173e-08,2.5677044490635126e-08,2.790234177041384e-08,3.484060684399992e-08,2.19983533611412e-08,3.898868428109381e-08,3.4184047592589195e-08,3.327249586959624e-08,3.429424921819191e-08,1.6381523693098643e-08,2.217564620821122e-08,2.466690141034178e-08,2.3882856581280976e-08,2.3657344527805435e-08
нахлобучка,2.4416349830858053e-08,2.718090286180086e-08,1.1904327301692774e-08,1.777483582543482e-08,1.4681106996761173e-08,9.939501666167416e-09,2.092675543963196e-08,3.096943146374542e-08,9.777045839598486e-09,1.2253585701671454e-08,4.7150412463281555e-09,2.1389462645515778e-08,1.4381458690593263e-08,9.828913682952134e-09,1.349821943108509e-08,1.9621397839841848e-08,1.5921905571758543e-08,1.1390572929315113e-08
нацизм,5.043239070801064e-07,3.1512860232396633e-07,2.841166235612036e-07,2.722781857755763e-07,3.7939071262371726e-07,3.7521616036428895e-07,3.9362231518680346e-07,4.993820539311855e-07,5.35293281700433e-07,4.4892684059050225e-07,5.280846266941808e-07,5.383014922699658e-07,3.6838659411841945e-07,4.248275047302741e-07,4.888283910986502e-07,4.013977559225168e-07,4.971172415935143e-07,5.467475148179801e-07
национализм,2.8853389721916756e-06,2.8183198992337566e-06,2.7006951768271392e-06,3.0257617709139595e-06,3.062169980694307e-06,3.7322827211028198e-06,3.904334789694985e-06,4.951237770001171e-06,5.225831046118401e-06,5.904000317968894e-06,5.6792673603922594e-06,6.012815447320463e-06,5.864316335646436e-06,5.528218025574461e-06,5.487026101036463e-06,3.930446382582886e-06,5.5744358178344555e-06,4.944385182170663e-06
националист,2.3153434369760362e-07,2.0215796325828705e-07,1.8808837864980887e-07,2.8197354140502284e-07,3.824814882591454e-07,3.9675174434705696e-07,4.235176902511739e-07,5.600305144071172e-07,5.475145599120879e-07,7.274174436133762e-07,6.365305580402492e-07,6.191061174831702e-07,5.763646413470269e-07,6.487082941930566e-07,5.842800874233944e-07,4.2382220044601127e-07,6.54567202218459e-07,6.045765985618345e-07
националистический,3.0057367439439986e-07,2.828512606356526e-07,2.888783399157546e-07,3.06211944689494e-07,3.021217480636551e-07,3.395996373001253e-07,3.198804279236356e-07,4.684126224674401e-07,4.1796872096711013e-07,6.048815635040228e-07,4.750403945763537e-07,4.2422433921274205e-07,3.993620509845641e-07,4.761562593103008e-07,3.933766947739059e-07,3.016089351604023e-07,3.8831757365187514e-07,3.925366911516903e-07
националистка,5.051658646948454e-09,3.3976128577251075e-09,1.5872436698316505e-09,3.2317883924548596e-09,1.1590348236723003e-08,9.111209564593992e-09,4.982561030431043e-09,1.29039285923227e-08,7.33278415765426e-09,2.3393209147570815e-08,5.893801446887892e-09,7.129820733808856e-09,9.956394819710113e-09,1.3105218243936179e-08,8.67742677712613e-09,1.0651616477730386e-08,1.3268254051013173e-08,1.4895364941480693e-08
националистский,6.735544566538465e-09,1.1891645002037876e-08,4.761731009494952e-09,3.2317883924548596e-09,2.3180695141178376e-09,1.6565835370130344e-09,6.97558544260346e-09,1.0323143229129528e-08,4.888522919799243e-09,4.455849467177586e-09,1.1787603115820389e-09,0.0,0.0,3.2763045609840447e-09,2.8924755923753764e-09,2.8030568977044368e-09,7.076402130934412e-09,3.5047917901209757e-09
национал - экстремизм,0.0,0.0,0.0,0.0,0.0,0.0,3.9860488243448344e-09,9.032750547532942e-09,3.66639207882713e-09,3.341887211405492e-09,9.430082492656311e-09,0.0,4.42506431497236e-09,8.736812162624119e-09,7.713268246334337e-09,3.9242795679683695e-09,7.076402130934412e-09,5.257187574159161e-09
нацист,2.2900852059137833e-07,2.0725438787394523e-07,1.4126469238817663e-07,1.8663577350253036e-07,1.2208499811094953e-07,1.8470906582024327e-07,1.5545590770216222e-07,1.535567548671679e-07,1.5276634712790838e-07,1.74892093696144e-07,1.6149016346389544e-07,1.4021981087353197e-07,1.4823964988863736e-07,1.1357855811411355e-07,8.966674158727983e-08,1.6369853028663783e-07,1.503735518326721e-07,1.4457266672707192e-07
нацистка,1.4313032536961146e-08,5.945822501018938e-09,8.729839962029473e-09,1.6158941962274298e-09,1.5453797130859925e-09,2.484875416541854e-09,5.979073236517252e-09,5.161571614564764e-09,8.554914998626373e-09,3.341887211405492e-09,3.536281045768419e-09,5.9415175002186515e-09,3.3187981252069676e-09,1.0921015203280149e-09,1.9283170615835843e-09,2.8030568977044368e-09,4.422751498367461e-09,4.380989793162371e-09
нацистский,3.5361608752282336e-07,2.7605605623648444e-07,2.0396080913087644e-07,2.157218688125795e-07,2.719868348322052e-07,1.7808272900765587e-07,3.358246090101602e-07,3.2130782301464933e-07,2.2242778641157201e-07,2.9965588055347325e-07,2.6639983730092354e-07,3.992699646460096e-07,2.8431037435439066e-07,2.795779892039718e-07,2.2079230177496356e-07,3.627155820140615e-07,2.5386592028553423e-07,3.0141208640088735e-07
нашествие,1.0970518360409187e-06,1.175574084300024e-06,1.1761475207094918e-06,1.3581591247202596e-06,1.3390715594141511e-06,1.3178122344470466e-06,1.4160438013277599e-06,1.614281472939183e-06,2.028737071668729e-06,2.272483243359602e-06,2.039255377894733e-06,2.2411402369471034e-06,2.2700580757373245e-06,2.0116510768275475e-06,2.2137080577522283e-06,1.8012443661064026e-06,1.971662641153671e-06,2.0266459159756778e-06
наябедничать,1.515497594084536e-08,1.4439854645331707e-08,5.555352622366172e-09,1.0503311997922538e-08,1.7771867533156183e-08,2.650533659220855e-08,1.0961634266948295e-08,1.1613535910726114e-08,1.09991766805706e-08,1.670943561293825e-08,9.430082492656311e-09,8.31812396739906e-09,1.6593991958302468e-08,1.9657827365904268e-08,1.0605743838709714e-08,2.915179209139751e-08,2.6536508102026346e-08,1.5771563610655903e-08
не вернуть деньги,0.0,0.0,0.0,2.423841349852296e-09,0.0,0.0,0.0,0.0,0.0,1.1139623667943965e-09,0.0,0.0,0.0,1.0921015203280149e-09,0.0,5.606113906431176e-10,3.538201065467206e-09,0.0
не выполнить,2.3806605042864248e-07,2.825886156188062e-07,3.0106062354207097e-07,2.65959812395522e-07,3.330636673126719e-07,2.7250916900811717e-07,2.5533535108479555e-07,2.2717026126883866e-07,2.940155923170096e-07,2.2225245288609585e-07,2.625993715810182e-07,2.3561578643693792e-07,2.1525376325826073e-07,2.2373806984887779e-07,2.366410427612209e-07,2.5951851512218127e-07,2.2298019075606135e-07,2.3563318052310933e-07
не выполняться,1.444267354600015e-07,1.1367587404720325e-07,1.25504186598846e-07,1.204058719395107e-07,1.0567665498228962e-07,1.3274085119974188e-07,8.730215483865322e-08,1.154073530074129e-07,7.033314375348709e-08,6.394999729764095e-08,9.458028671360807e-08,7.966057324892972e-08,6.060543000785401e-08,6.289410947601937e-08,4.004694531545283e-08,3.428598205346134e-08,4.092145644563061e-08,3.472489140676771e-08
не добиться,2.3409828031617508e-07,2.7938648372582975e-07,3.7053615642435034e-07,3.650279154499003e-07,3.9355444414468366e-07,3.34975453597508e-07,2.9100718279551074e-07,2.514665595754195e-07,2.894036015277379e-07,2.725737715536525e-07,3.015442189280293e-07,3.0405655593312986e-07,2.936228327143908e-07,2.680732791304763e-07,2.42101975800324e-07,3.4180487773483037e-07,2.455287528846384e-07,2.736651936174894e-07
не доделать,6.348428005509277e-09,4.002671527558732e-09,5.976389605422128e-09,6.096499749475015e-09,4.372826989396117e-09,3.1233142738784636e-09,2.8161986076469248e-09,3.6444427475856855e-09,2.306004720509236e-09,5.2418029916623254e-09,1.1127092580665021e-09,2.243959906778059e-09,7.31444815826876e-09,4.124204089350769e-09,6.37110497692106e-09,8.439626775214037e-09,8.351317970500816e-10,8.26783086438354e-09
не додумать,7.935535006886596e-10,1.6010686110234928e-09,3.7352436699222835e-09,3.0482498747375075e-09,0.0,7.808285573673857e-09,1.877465738431283e-09,7.288885495171371e-09,1.0377021020246957e-08,4.193442482147702e-09,3.3381277741995063e-09,5.609899655922845e-09,3.134763559842213e-09,2.0621020446753846e-09,9.101578157810764e-09,6.329719859365923e-09,6.6810543764006525e-09,8.267830864383541e-10
не достигать,2.3013051020370767e-08,4.082724913700986e-08,2.689375300235497e-08,2.591012382424651e-08,3.4982615915168935e-08,3.2013971917876916e-08,3.848804652761828e-08,2.9155541980685484e-08,2.4213049343302373e-08,3.040245744045933e-08,2.8930440265639845e-08,1.7951679254224473e-08,3.657223857089775e-08,1.855891795798925e-08,3.4585998065495005e-08,2.690130962434978e-08,2.7559348581007725e-08,2.3149926420273914e-08
