year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
анархистка,1.7680804376141168e-08,5.096419286587661e-09,1.2697949358653204e-08,8.079471314204056e-09,2.2408006117302648e-08,1.9879003332334833e-08,4.384653706779318e-08,2.9679036117613578e-08,2.8109006677823345e-08,3.230490719374757e-08,2.3575205787551567e-08,3.6837406014456064e-08,3.540051451977888e-08,3.4947248650496476e-08,1.9283170615835843e-08,3.1394236543746956e-08,2.9190159622771716e-08,3.241932233777334e-08
анархистский,4.1255209026758166e-08,4.586777180293211e-08,7.142596558651348e-08,4.2821195478381924e-08,6.181518585890444e-08,8.697063691442963e-08,5.181863471648285e-08,4.516375184948629e-08,3.421965999450549e-08,4.344453330418219e-08,3.182652719146972e-08,7.60514211606278e-08,8.296995446244182e-08,5.6789279057056774e-08,5.6885355093072576e-08,5.325808061229509e-08,5.838031924554343e-08,5.169567884877324e-08
анархический,7.998459494729104e-08,1.3165750090138317e-07,1.3967743939247157e-07,1.2280796113373071e-07,1.529925981458291e-07,2.012749007462844e-07,2.6407573727738054e-07,1.883973652638815e-07,1.8454174721682648e-07,2.239064400555435e-07,1.6266892544081202e-07,2.138946229024441e-07,2.666101295289991e-07,2.6319645485273213e-07,1.9958081054483046e-07,1.9172910015186062e-07,1.9637015213902487e-07,1.4019167338119587e-07
анархия,4.824333927899715e-07,6.472452582784172e-07,6.904509746163967e-07,7.142252229641599e-07,8.615492106400779e-07,1.2142756986577297e-06,1.4947682984711719e-06,1.3303950936460751e-06,1.3284560509418952e-06,1.154064989350445e-06,1.2070505590600078e-06,1.150277739725425e-06,1.2312741546338657e-06,1.1674565030261874e-06,1.1521694887051126e-06,1.0281612503604265e-06,1.0083873576149927e-06,1.0181420293520205e-06
ангина,2.0964382940746873e-07,1.843204984197655e-07,1.476136617384327e-07,2.0683445711711101e-07,1.7926404893842118e-07,1.755978615847198e-07,2.3418036221301008e-07,1.6904147059904062e-07,2.713130129450292e-07,1.8825963365998177e-07,1.6149016346389544e-07,2.2577765435016772e-07,1.969153657910283e-07,1.812888541508073e-07,1.8319012440315419e-07,3.9354918612843903e-07,2.1406115990885155e-07,2.6285937337888754e-07
ангинный,2.525829323474227e-09,8.494032144312769e-10,0.0,8.079470981137149e-10,2.3180695141178376e-09,8.282917685065172e-10,0.0,2.580785807282382e-09,0.0,0.0,0.0,0.0,1.10626607874309e-09,0.0,1.9283170615835843e-09,0.0,2.6536508546115556e-09,8.761979475302439e-10
анемический,3.3677722832692325e-09,5.096419286587661e-09,9.523462018989903e-09,4.039735657102028e-09,5.408828940289823e-09,6.626334148052138e-09,3.9860488243448344e-09,6.45196429616135e-09,6.110653760771356e-09,1.1139623667943965e-09,0.0,1.1883035000437303e-08,3.3187981252069676e-09,1.0921015203280149e-09,4.820792653958961e-09,1.4015284932611394e-08,7.960952785879272e-09,6.133385799245161e-09
анемия,3.7971631172695197e-07,4.450872950201301e-07,4.4522184339257365e-07,3.3125832032965263e-07,2.78941030273927e-07,3.3462987403254374e-07,5.859491807314043e-07,3.3808294119808124e-07,2.5420320071134483e-07,1.9160152930908225e-07,1.9213793223116227e-07,2.340957792057452e-07,2.0465923000756447e-07,2.2934132459795364e-07,2.4200377879424195e-07,5.740660640185524e-07,2.76864227544138e-07,4.275846094969893e-07
анорексия,3.451966534839812e-08,6.115703143905193e-08,2.777676400000928e-08,5.817219062009826e-08,2.2408006117302648e-08,3.89297127867394e-08,7.473841634464407e-08,1.935589288848405e-08,3.1775400088918104e-08,1.2253585701671454e-08,9.430082492656311e-09,4.159062072517372e-08,1.5487724880358655e-08,3.603934928264607e-08,2.217564620821122e-08,1.4407713422315283e-07,3.538201198693969e-08,4.906708639396129e-08
антиконституционность,1.6838861416346163e-09,1.1891645002037876e-08,0.0,4.039735657102028e-09,3.863449116181528e-09,7.454626249625562e-09,2.092675543963196e-08,2.7098250754420405e-08,2.3220483313934892e-08,2.450717140334291e-08,1.650264458419315e-08,1.1883035000437303e-08,1.770025725988944e-08,9.828913682952134e-09,6.749109715542545e-09,6.727336909762016e-09,1.1499153629301873e-08,3.5047917901209757e-09
